Épisode 410/5000, Score: 231.0, Epsilon: 0.1281
Épisode 411/5000, Score: 126.0, Epsilon: 0.1274
Épisode 412/5000, Score: 189.0, Epsilon: 0.1268
Épisode 413/5000, Score: 273.0, Epsilon: 0.1262
Épisode 414/5000, Score: 231.0, Epsilon: 0.1255
Épisode 415/5000, Score: 189.0, Epsilon: 0.1249
Épisode 416/5000, Score: 231.0, Epsilon: 0.1243
Épisode 417/5000, Score: 273.0, Epsilon: 0.1237
Épisode 418/5000, Score: 168.0, Epsilon: 0.1230
Épisode 419/5000, Score: 105.0, Epsilon: 0.1224
Épisode 420/5000, Score: 84.0, Epsilon: 0.1218
Épisode 421/5000, Score: 42.0, Epsilon: 0.1212
Épisode 422/5000, Score: 168.0, Epsilon: 0.1206
Épisode 423/5000, Score: 231.0, Epsilon: 0.1200
Épisode 424/5000, Score: 189.0, Epsilon: 0.1194
Épisode 425/5000, Score: 210.0, Epsilon: 0.1188
