Épisode 442/7000, Score: 252.0, Epsilon: 0.1091
Épisode 443/7000, Score: 357.0, Epsilon: 0.1085
Épisode 444/7000, Score: 189.0, Epsilon: 0.1080
Épisode 445/7000, Score: 189.0, Epsilon: 0.1075
Épisode 446/7000, Score: 273.0, Epsilon: 0.1069
Épisode 447/7000, Score: 294.0, Epsilon: 0.1064
Épisode 448/7000, Score: 336.0, Epsilon: 0.1059
Épisode 449/7000, Score: 294.0, Epsilon: 0.1053
Épisode 450/7000, Score: 252.0, Epsilon: 0.1048
Épisode 451/7000, Score: 294.0, Epsilon: 0.1043
Épisode 452/7000, Score: 294.0, Epsilon: 0.1038
Épisode 453/7000, Score: 273.0, Epsilon: 0.1032
Épisode 454/7000, Score: 441.0, Epsilon: 0.1027
Épisode 455/7000, Score: 210.0, Epsilon: 0.1022
Épisode 456/7000, Score: 336.0, Epsilon: 0.1017
Épisode 457/7000, Score: 252.0, Epsilon: 0.1012
Épisode 458/7000, Score: 315.0, Epsilon: 0.1007
Épisode 459/7000, Score: 189.0, Epsilon: 0.1002
Épisode 460/7000, Score: 210.0, Epsilon: 0.0997
Épisode 461/7000, Score: 168.0, Epsilon: 0.0992
Épisode 462/7000, Score: 315.0, Epsilon: 0.0987
Épisode 463/7000, Score: 336.0, Epsilon: 0.0982
Épisode 464/7000, Score: 315.0, Epsilon: 0.0977
Épisode 465/7000, Score: 420.0, Epsilon: 0.0972
Épisode 466/7000, Score: 315.0, Epsilon: 0.0967
